,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Id,Borough,Neighborhood,Name
0,0,0,0,4c0448d9310fc9b6bf1dc761,Bronx,Woodlawn,Curry Spot
1,1,1,1,4c194631838020a13e78e561,Bronx,Unionport,Melanies Roti Bar And Grill
2,2,2,2,545835a1498e820edc6f636f,Brooklyn,Bay Ridge,Bombay Grill
3,3,3,3,51a5445c498ee0f182370cb2,Brooklyn,Greenpoint,Agra Taj Mahal
4,4,4,4,5169f5c4e4b0c7fcb77a0f3c,Brooklyn,Bushwick,Agra Heights
5,5,5,5,4b8ffc16f964a520246e33e3,Brooklyn,Brooklyn Heights,Curry Heights
6,6,6,6,506a2625498e3c434686abbc,Brooklyn,Brooklyn Heights,Asya Indian Restaurant
7,7,7,7,52f18573498ec2c34e830ffd,Brooklyn,Gowanus,Kanan's Indian Restaurant
8,8,8,8,57596dad498e732300496b23,Brooklyn,Fort Greene,Dosa Royale
9,9,9,9,568d3902498e619efcbc3f58,Brooklyn,Clinton Hill,Spice & Grill
10,10,10,10,57596dad498e732300496b23,Brooklyn,Clinton Hill,Dosa Royale
11,11,11,11,4ace7c86f964a520d3d020e3,Brooklyn,Clinton Hill,Kinara's
12,12,12,12,543870ec498ec64de510608d,Brooklyn,Boerum Hill,Masala Grill
13,13,13,13,4bb93b70cf2fc9b6fe64a002,Brooklyn,Prospect Lefferts Gardens,Gandhi Fine Indian Cuisine
14,14,14,14,4afdf78bf964a520862c22e3,Brooklyn,Prospect Lefferts Gardens,King of Tandoor
15,15,15,15,5631511b498e3d6d7e0a4df0,Brooklyn,North Side,Tikka Indian Grill
16,16,16,16,5631511b498e3d6d7e0a4df0,Brooklyn,South Side,Tikka Indian Grill
17,17,17,17,4ae7876ef964a5201eac21e3,Manhattan,Washington Heights,Kismat Indian Restaurant
18,18,18,18,54c2bd96498eaf5142e3fe92,Manhattan,Hamilton Heights,Clove Indian Restaurant & Bar
19,19,19,19,5914ff32b23dfa207eca38de,Manhattan,Hamilton Heights,Mumbai Masala
20,20,20,20,529d382a11d2dd5ef107e641,Manhattan,Manhattanville,Chapati House - NYC
21,21,21,21,4e221f671495f18f035610f6,Manhattan,Yorkville,Mumtaz
22,22,22,22,42489a80f964a5208b201fe3,Manhattan,Upper West Side,Swagat
23,23,23,23,49d91c12f964a520015e1fe3,Manhattan,Midtown,The Kati Roll Company
24,24,24,24,50809c09e4b0921f5b02d2f4,Manhattan,Murray Hill,Spice Symphony
25,25,25,25,4acf6ed7f964a520a0d320e3,Manhattan,Murray Hill,Cafe Spice
26,26,26,26,56c931b2cd10407d3ecbefda,Manhattan,Greenwich Village,Ananda
27,27,27,27,4bf1c6dd189f0f47d8aab762,Manhattan,Greenwich Village,Masala Times
28,28,28,28,4bbb9dbded7776b0e1ad3e51,Manhattan,Tribeca,Tamarind TriBeCa
29,29,29,29,591794df2be42556988e4a8e,Manhattan,West Village,Rahi
30,30,30,30,424de080f964a520ae201fe3,Manhattan,Manhattan Valley,Manhattan Valley
31,31,31,31,41575800f964a5202e1d1fe3,Manhattan,Morningside Heights,Ajanta Indian Restaurant
32,32,32,32,4aa56c81f964a5204e4820e3,Queens,Astoria,Seva Indian Cuisine
33,33,33,33,59b9d25d0d173f3bdf654d77,Queens,Astoria,Tikka Indian Grill
34,34,34,34,5782c9ce498edde587f5aa14,Queens,Kew Gardens,Tikka Indian Grill
35,35,35,35,4bbe78bfba9776b070cefdc8,Queens,Kew Gardens,Mehak Mughlai Cuisine
36,36,36,36,4adbaef0f964a520ff2921e3,Queens,Richmond Hill,Punjabi Kabab House
37,37,37,37,50a287a7e4b0033f830f06db,Queens,Long Island City,Raj's Indian Kitchen
38,38,38,38,58855a59af7d1717fffdf996,Queens,Ridgewood,Fresh Pond Spice
39,39,39,39,4e4cdf04bd413c4cc66cd6f9,Queens,Ozone Park,S & A West Indian Restaurant
40,40,40,40,4f1f4996e4b01ff351a7a50c,Queens,Bayside,Ayna Agra Indian Restaurant
41,41,41,41,539a4ff0498e79c6745baba9,Queens,Bayside,Masala Box
42,42,42,42,539e27b0498e2eba582085ee,Queens,Bayside,masalabox
43,43,43,43,4b787c49f964a5209cd12ee3,Queens,Glen Oaks,Santoor Indian Restaurant
44,44,44,44,4cb4a712db32f04dcb5adf4d,Queens,Briarwood,Moon Tikka
45,45,45,45,4c76ff35a5676dcb72671721,Queens,Floral Park,Flavor Of India
46,46,46,46,4c953a7672dd224bd8d1a191,Queens,Floral Park,Real Usha Sweets & Snacks Inc.
47,47,47,47,537c23f8498e3ec735a28ab5,Queens,Jamaica Estates,Dhaka Hajir Biryani
48,48,48,48,4a215243f964a520d17c1fe3,Queens,Queensboro Hill,Mango's Restaurant
49,49,49,49,4d349d83eefa8cfa6d7d4cb3,Queens,Ravenswood,Aladdin Sweets and Restaurant
50,50,50,50,4be74a502468c928505a0243,Staten Island,New Dorp,Taste Of India II
51,51,51,51,5b0c8e2d2f97ec002c67a428,Manhattan,Carnegie Hill,Ashoka Fine Dine
52,52,52,52,510431dde4b0f2b954d00297,Manhattan,Noho,Malai Marke
53,53,53,53,4c434b2bd691c9b6ef8f8f0a,Queens,Jamaica Hills,Sagar Restaurant
54,54,54,54,4bad49a0f964a52041423be3,Queens,Jamaica Hills,Annam Brahma
55,55,55,55,551b7f75498e86c00a0ed2e1,Bronx,Concourse Village,Hungry Bird
56,56,56,56,4a63bfb4f964a520b3c51fe3,Manhattan,Sutton Place,Chola Eclectic Indian Cuisine
57,57,57,57,4fe4fb50c2eee335e4fea69d,Manhattan,Sutton Place,Moti Mahal Delux
58,58,58,58,4a5b660df964a52015bb1fe3,Manhattan,Turtle Bay,Amma
59,59,59,59,52a1fa08498ede15b1530912,Manhattan,Flatiron,Deep Indian Kitchen (Indikitch)
60,60,60,60,4c48da9f3013a59356c5f0e1,Queens,Sunnyside Gardens,Saffron Garden
61,61,61,61,506a2625498e3c434686abbc,Brooklyn,Fulton Ferry,Asya Indian Restaurant
